,scalerank_left,airport_name,abbrev,location,gps_code,iata_code,wikipedia,wdid_score,ne_id,name,iso3,size,usage,top_20_busiest_airports,busiest_airport_ranking,amount_passed_through
142,8,Los Mochis,LMM,ramp,MMLM,LMM,http://en.wikipedia.org/wiki/Federal_del_Valle_del_Fuerte_International_Airport,4,1159116513,Mexico,MEX,mid,civilian,0,0,0
143,8,Venustiano Carranza Int'l,LOV,runway,MMMV,LOV,http://en.wikipedia.org/wiki/Venustiano_Carranza_International_Airport,4,1159116531,Mexico,MEX,mid,civilian,0,0,0
144,8,Laredo Int'l,LRD,terminal,KLRD,LRD,http://en.wikipedia.org/wiki/Laredo_International_Airport,4,1159116549,United States of America,USA,mid,civilian,0,0,0
145,8,Sumburgh,LSI,runway,EGPB,LSI,http://en.wikipedia.org/wiki/Sumburgh_Airport,2,1159116567,None,None,mid,civilian,0,0,0
146,8,Bassel Al-Assad Int'l,LTK,terminal,OSLK,LTK,http://en.wikipedia.org/wiki/Bassel_Al-Assad_International_Airport,4,1159116587,Syria,SYR,major,civilian,0,0,0
147,8,London Luton,LTN,terminal,EGGW,LTN,http://en.wikipedia.org/wiki/London_Luton_Airport,4,1159116605,United Kingdom,GBR,major,civilian,0,0,0
148,8,Svalbard Longyear,LYR,terminal,ENSB,LYR,http://en.wikipedia.org/wiki/Svalbard_Airport%2C_Longyear,4,1159116623,None,None,mid,civilian,0,0,0
149,8,Sangster Int'l,MBJ,runway,MKJS,MBJ,http://en.wikipedia.org/wiki/Sangster_International_Airport,4,1159116641,Jamaica,JAM,mid,civilian,0,0,0
150,8,Mandalay Int'l,MDL,terminal,VYMD,MDL,http://en.wikipedia.org/wiki/Mandalay_International_Airport,4,1159116657,Myanmar,MMR,mid,civilian,0,0,0
151,8,Chicago Midway Int'l,MDW,terminal,KMDW,MDW,http://en.wikipedia.org/wiki/Chicago_Midway_International_Airport,4,1159116663,United States of America,USA,major,civilian,0,0,0
152,8,Eloy Alfaro Int'l,MEC,runway,SEMT,MEC,http://en.wikipedia.org/wiki/Manta_Air_Base,4,1159116681,Ecuador,ECU,mid,military/civilian,0,0,0
